"[Sou servido, que esta e as mais câmaras do Brasil proponham anualmente aos respectivos governadores e capitães generais, três letrados com carta de formatura, que sejam moradores dentro da mesma Comarca e de boa e sã consciência para juízes destas demarcações em primeira instância para os mesmos Governadores nomearem também anualmente, o que lhe parecer mais idôneo; vencendo estes a quarta parte dos emolumentos; que atualmente se pagam aos Intendentes que vão de fora, dando apelação e agravo para o ouvidor da Comarca e dela para a mesa da Coroa da Relação, a que tocar e ser vindo os escrivães do público judicial e notas por uma distribuição rigorosa, e impreterível de escrivães das sobreditas demarcações com os salários e caminhos que pelos meus regimentos vencem nas outras causas ordinárias; e para a observância de tudo o referido hei por derrogada todas as resoluções e ordens em contrário, as quais hei por abolidas, e mando que sejam averbados nos registros delas nesta conformidade. Nossa Senhora da Ajuda, 27 de novembro de 1761. Com a rubrica de S.M.]Os oficiais da câmara da Vila Nova da Rainha em carta de 07/04/1759.Se mandou dar vistas ao procurador da Fazenda e Coroa, e informar o governador, com nova vista aos procuradoresAo Conselho parece o mesmo que ao governador com algumas declarações.Lisboa, 27 de outubro de 1761. Metello, Andrade, Bacalhau, Rangel, Costa, Sampaio, Tavares.","82","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 169","27/10/1761","1761","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaFrancisco Xavier de Assis Pacheco e SampaioJoão Soares Tavares","FazendaCoroa","27/11/1761","Sou servido, que esta e as mais câmaras do Brasil proponham anualmente aos respectivos governadores e capitães generais, três letrados com carta de formatura, que sejam moradores dentro da mesma Comarca e de boa e sã consciência para juízes destas demarcações em primeira instância para os mesmos Governadores nomearem também anualmente, o que lhe parecer mais idôneo; vencendo estes a quarta parte dos emolumentos; que atualmente se pagam aos Intendentes que vão de fora, dando apelação e agravo para o ouvidor da Comarca e dela para a mesa da Coroa da Relação, a que tocar e ser vindo os escrivães do público judicial e notas por uma distribuição rigorosa, e impreterível de escrivães das sobreditas demarcações com os salários e caminhos que pelos meus regimentos vencem nas outras causas ordinárias; e para a observância de tudo o referido hei por derrogada todas as resoluções e ordens em contrário, as quais hei por abolidas, e mando que sejam averbados nos registros delas nesta conformidade. Nossa Senhora da Ajuda, 27 de novembro de 1761. Com a rubrica de S.M.]","Sesmarias e datas (queixumes e arbítrios)","2","07/04/1759","","","Sobe","Sobre o que informa o Conde de Bobadela a respeito da conta que por este conselho deram os oficiais da câmara da Vila de Nova Rainha em que pedem Sua majestade seja servido conceder aos habitantes residentes na capitania das Minas Gerais, se conservem nas posses tomadas até o presente como próprios títulos de suas sesmarias e vai a cópia da conta e ordem que se acusa."
"[Como parece. Belém 2 de junho de 1758. Com a rubrica de S. Majestade]Governador em carta de 6 de julho de 1757 deu conta sobre a representação da câmara de Pitangui para criação da Companhia.Ao Conselho parece que que deve se permitir.Lisboa. 25 de fevereiro de 1758. Marquês de Penalva/ Metello/Pardinho/Rangel/Costa/Coutinho/Sampaio.","83","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 153","25/02/1758","1758","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesRafael Pires PardinhoDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaAntónio de Azevedo CoutinhoFrancisco Xavier de Assis Pacheco e Sampaio","","02/06/1758","[Como parece. Belém 2 de junho de 1758. Com a rubrica de S. Majestade]","Militares (criação de companhias, dúvidas sobre regimentos, etc.)","1","06/07/1757","","","Sobe","Sobre a conta do Governador das Minas Gerais a respeito de se criar uma companhia de ordenança de pé no arraial da Onça distrito da vila de Pitangui, e vão as cópias que se acusam."
"Governador, carta de 25/04/1757 sobre representação dos oficiais de Mariana acerca da companhia de Ordenanças no distrito dos terços Rio Abaixo, Guarapiranga, Nossa Senhora da conceição; MarianaResolução de 17/08/175728/08/1760","84","Indireta","Livro de Registro de Cartas régias, provisões e outras ordens para Minas Gerais, Códice 242 (1753-1782), p. 68","","","","","17/08/1757","","Militares (criação de companhias, dúvidas sobre regimentos, satisfação de soldos e fardas, etc.)","","","","","SI",""
"Esta consulta está registrada no Livro do Rio de Janeiro folha 326.Códice 234[Como parece. Belém 19 de abril de 1758. Com rubrica de S. Majestade]O governador interino em carta de 27 de junho de 1757 a partir de representação dos moradores.Ao Conselho parece que que deve se permitir.Lisboa. 25 de fevereiro de 1758. Marquês de Penalva/ Metello/Pardinho/Rangel/Costa/Coutinho/Sampaio.","85","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 154 - Códice 234","25/02/1758","1758","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesRafael Pires PardinhoDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaAntónio de Azevedo CoutinhoFrancisco Xavier de Assis Pacheco e Sampaio","","19/04/1758","[Como parece. Belém 19 de abril de 1758. Com rubrica de S. Majestade]","Militares (criação de companhias, dúvidas sobre regimentos, etc.)","","","","","Sobe","Sobre a conta do Governador interino do Rio de janeiro e Minas Gerais a respeito de se criar uma companhia de ordenança de pé no arraial de Santa Anna de Mateus Leme comarca da Vila Real de Sabará e vão cópias que a mesma conta acusa."
"GovernadorÉ servido por real resolução de 25/08/1760 que se arremate o contrato do Rio de Janeiro e Minas29/08/1760","86","Indireta","Livro de Registro de Cartas régias, provisões e outras ordens para Minas Gerais, Códice 242 (1753-1782), p. 69","","","","","25/08/1760","","","","","","","SI",""
"Governador Sobre a conta de 10/03/1757 sobre representação da câmara de São José sobre criação de companhia de Ordenanças, São José, Passatempo, Nossa Senhora da GlóriaConsulta de 16/08/175729/08/1760","87","Indireta","Livro de Registro de Cartas régias, provisões e outras ordens para Minas Gerais, Códice 242 (1753-1782), p. 69","","","","","16/08/1757","","Militares (criação de companhias, dúvidas sobre regimentos, satisfação de soldos e fardas, etc.)","","","","","SI",""
"O Ouvidor do Serro Frio em carta de 6 de agosto do ano passado[1ª parte sobre a arrecadação do quinto]Que sendo V. M. servido por seu real decreto e provisão deste Conselho de 13 de maio de 1757 separar as  ditas Minas Novas do governo da Bahia e uni-las com as tropas que nelas se acham aquela Comarca do Serro Frio a que antes pertenceram, e estando com efeito [ilegível] do mesmo Real decreto sujeitas aquela dita comarca e jurisdição dela, tanto no cível como no crime de sorte que o Ouvidor seu antecessor, fora a dita vila fazer correição, e as eleições das justiças passando aos juízes, e mais oficiais cartas de usanças dos ofícios ainda do ano próximo passado; sucedera [por] dúvida a resolução do mesmo real decreto ou por representação do ouvidor da Jacobina ou outra alguma pessoa e mandar a Mesa do despacho; e expediente do Desembargo do Paço da Relação da dita Cidade da Bahia uma provisão para que quanto as justiças ficassem sujeitas as ditas terras ao ouvidor de Jacobina, enquanto V.M. não declarasse o dito decreto, porque lhe davam a interpretação de que só se entenderia para as Tropas do Governo militar e jurisdição do Intendente dos Diamantes, e não quanto a justiça /estando aliás ao que parece bem claro, que a união das ditas terras, fora inteiramente de tudo feita aquela comarca, a que antes pertenceram porque já foram dela/ e por causa da dita provisão, tornaram os moradores das ditas Minas, e Vila do Fanado, a voltar-se para a jurisdição da Jacobina, ficando só no militar sujeitas ao Governo daquela capitania e ao Intendente dos Diamantes, e aquela Intendência de Ouro, no que também põem alguma dúvida, pois como cessou a frequencia das partes, quanto a justiça agora todo o ouro que tem levam para a Jacobina com guias, e se é que o levam, devendo-o levar para aquela Real Casa por estarem os quintos daquelas Minas destinados para pagamento dos soldados do Destacamento da mesma Vila segundo as ordens de V.M.; e as ditas terras debaixo do Governo daquela capitania.Que é muito prejudicial esta confusão e desordem porque a há grande em serem as ditas terras pela referida dúvida em parte daquela Comarca, e em parte não estarem sujeitas ao Governo da capitania daquelas Minas gerais e Intendencias, e em parte serem também governadas pela Bahia unirem-se aquela comarca a que antes pertenceram, e estiveram unidas com grande vontade do povo que logo que logo que se acharam se-lhe reuniram a jurisdição dela com as suas causas e apelações e agravos por lhe ficar perto em distância de 40 léguas e a Jacobina muito longe em distância de mais de duzentas léguas, e depois formar-se dúvida para tornarem agora para a jacobina, correndo ainda ali algumas causas. Aplica-se o quanto das ditas Minas que se devia juntar naquela fundição para o pagamento dos soldados daquele destacamento, e depois levarem as partes agora o ouro para a Jacobina ou para onde lhe parece e até sobre um novo descoberto / ainda pequeno/ havia dúvida por querer o juiz ordinário da jacobina que serve de ouvidor que não obstante o ter ele ouvidor mandado repartir por se ter ali dado ao manifesto, e constar ser daquela jurisdição/ seja da sua pertença a dita Vila do Fanado.Que nestes termos carecia esta desordem de pronta providência a qual se pode dar, sendo V.M. que servido ordenar que as ditas terras, Minas novas da Vila do Fanado, fiquem em tudo sem dúvida alguma sujeitas aquela comarca, e da inteira jurisdição dela cível, e crime, e [vindas] a mesma como já o estiveram antes que era o que se determinava no dito real decreto, o que se quis dar diferente sentido, e que na real Casa de Fundição dela se deve fundar o ouro das ditas Minas passando-se ordem para que assim se observe e se registre na câmara da dita Vila, na qual os comandantes do Destacamento dela e pessoas, a que competir, passem as guias do ouro das partes para aquela dita Fundição, porque nesta forma se evitam confusões, descaminhos e prejudiciais consequências.[...]Ao Conselho parece que deve fazer presente a Vossa Majestade esta conta do Ouvidor do Serro do Frio e que para se responder a este Ouvidor se precisa saber o Conselho a resolução que V.M. é servido tomar na Consulta de 22 de setembro de 1758, que por cópia sobe a sua real presença; com a qual resolução fica cessando a dúvida que nas Relações da Bahia, e Rio de Janeiro pende sobre a jurisdição de um e outro ouvidor; e a qual destas Relações pertence o conhecimento das apelações que saírem dos ouvidores do Serro do Frio, e da jacobina. Lisboa. 20 de junho de 1760. Metelo, Andrade, Bacalhau, Rangel, Costa, Tavares, SoutoMaior.","88","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 164","20/06/1760","1760","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaJoão Soares TavaresManoel António da Cunha de Sottomayor","","26/08/1760","[O Conselho mande passar as ordens necessárias para ser repreendido na Relação da Bahia o Ouvidor da jacobina, que depois da posse justamente tomada na conformidade das minhas reais ordens, pelo ouvidor do Serro Frio expediu o atentado e sedicioso edital, que deu motivo a este conflito de jurisdição [pretextado] com as incompetentes interpretações que o mesmo ouvidor de Jacobina se animou a dar a meu Real Decreto depois de haver sido executado; e na conformidade dele faça restituir ao referido ouvidor da Jacobina todos os salários, que indevidamente percebeu das nulas correições, que fez depois da posse que havia tomado o do Serro do Frio, a quem tocam declarando-se que toda a jurisdição das referidas Minas do Fanado fica pertencendo a câmara do Serro Frio, e ao governo das Minas Gerais sem a distinção de militar ou civil que não fizeram as ditas minhas ordens. Com o que hei também por deferida a Consulta inclusa de vinte e dois de setembro de 1758 e a representação dos oficiais da câmara da Vila de Nossa Senhora do Bom Sucesso do Arassuahy. Nossa Senhora da Ajuda. 26 de agosto de 1760. Com rubrica de S. M]ordem para o governador e resposta ao ouvidor (Códice 242)","Jurisdições e precedências (queixas, conflitos, recursos e dúvidas)","2","17/05/1758","","","Baixa","Sobre se fazer presente a Sua Majestade a conta que pelo mesmo Conselho deu o ouvidor do Serro frio a respeito da conferência que fez com o Intendente da Casa da Fundição da Vila do Príncipe sobre o produto dos direitos dos quintos da mesma Casa, e do rendimento dos mesmos das Minas Novas do Fanado e demais  que aponta sobre jurisdição daquela Intendência e vão as certidões, mapa, e consulta que se acusa.Obs: Envolve um conflito de jurisdição."
"Em carta de 5 de maio de 1755.Se deu vista ao Procurador da Fazenda, que respondeu que o governador deveria informar. O governador respondeu em carta de 26 de abril de 1759, dizendo que foram ouvidos os intentes das Minas, que se inclinam a que se modifique a apreensão nas Intendências pois pelo receio, temem que as pessoas não vão mais meter o seu ouro, mas o governador informa que o bando e tudo mais praticado está na conformidade das leis.O procurador da fazenda deu nova vista, e disse que a lei de 17 de janeiro de 1735 é justíssima e deve observar sem modificação ou alteração. O mesmo disso o procurador da fazenda.“Parece ao Conselho que os oficiais da câmara da Cidade Mariana justamente representam os prejuízos que faz a observância do bando, que o governador daquela capitania mandou publicar, impondo a pena de perdimento do ouro, que nas casas da Fundição for achado com mistura de outro metal ou gênero que lhe aumente o seu valor intrínseco e não há dúvida que este bando é exorbitante das penas que impõem a lei de 17 de janeiro de 1753 na qual se manda que quem cometer o crime de falsificar o ouro em pó com mistura de outro gênero diferente, se a falsidade chegar o valor de marco de prata seja castigado com pena de morte e confiscação de bens e não chegando o valor de marco de prata seja o falsário degredado para Angola, e se lhe confisquem os seus bens, e quando senão averigue quem foi a falsidade, seja o ouro confiscado para a Fazenda real em qualquer mão, que for achado, sem se impor outra pena a quem tiver sem malícia, e não se fala na dita lei no ouro que voluntariamente se leva a casa da moeda para se fundir e quintar pelo que se conhece o excesso do dito bando por não admitirem extensão as interpretações das leis penais, nem seria conveniente que incorressem em pena alguma os que levarem o ouro voluntariamente a quintar as casas de Fundição, ainda que nele se acha mistura de outros metais, porque havendo de se praticar esta pena dificultosamente haveria, quem metesse ouro nas ditas Casas com o receio de se lhes achar alguma mistura por esta mesma razão consultou já o Conselho a Vossa majestade a respeito das moedas falsas que se acharam na Bahia, que quem as metesse na Casa da Moeda se lhe pagasse o seu valor intrínseco pois não há outro meio mais próprio para examinar se a moeda é falsa ou verdadeira que levá-la a Casa donde ela se fabrica e quem entra na dúvida de ser ou não falsa a dita moeda tendo a certeza de se lhe pagar o seu valor intrínseco, a levará a quem lhe faça este exame, e lhe pague a sua importância, e não continuará a correr moeda, em que possa haver esta dúvida; e na mesma forma o ouro em que se entender há falsidade não se pode esta averiguar melhor, que metendo-se na Casa da Fundição aonde se paga pelo seu justo valor, no que não tem a Fazenda Real prejuízo algum, pois não entrega ao dono do ouro mais do que as quatro quintas partes do valor do mesmo ouro. E pelo que toca a conservar dentro do distrito das minas a moeda de prata [...] o mesmo Conselho na Consulta que fez [...] acautelou os incômodos que teriam os viandantes que houvessem de sair das Minas se não pudessem extrair a [moeda] de prata que tivessem para fazer as despesas das jornadas para o que se põem nos registros  das entradas moedas que correm no Brasil para se entregarem aos que trouxerem moedas que só devem correr dentro das Minas; porém como senão impor pena a quem extrair a dita moeda de prata, ficou sem efeito a pia e real intenção com que se mandou fabricar a moeda de prata para se fazerem as despesas miúdas naquele continente porque toda esta moeda que havia de correr somente nas minas é admitida a correr em todo o Brasil.Pelas quais razões parece que V. M. seja servido mandar declarar que a lei de 17 de janeiro de 1735 não manda tomar por perdido o ouro que se levar as casas de fundição para nelas ser fundido ainda que nele se ache alguma falsidade e que esta declaração se registre nas casas da fundição e da moeda: como também que seja V. M. servido ordenar que as moedas de prata que mandou fabricar para o cômodo dos moradores das Minas não possam sair dos registros para fora, nem se possam aceitar em pagamento mais que dentro dos ditos registros, e que sendo achadas fora do dito distrito sejam perdidas para os cativos e denunciante, e a pessoa em cujas mãos forem achadas sejam presas na cadeia pública por tempo de 30 dias.Ao conselheiro João Soares Tavares e Diogo Rangel de Almeida CastelloBranco parece que a lei de 17 de janeiro de 1735 se deve praticar com as pessoas que vão meter o ouro na casa da fundição na mesma forma em que se pratica com os mais a quem é achado porque do contrário resulta grandes prejuízos a fazenda Real; porque como o 5º hoje nas Minas gerais se paga por cota certa de 100 arrobas, se for permitido levar ouro falho a Casa de Fundição impunentemente, ficará fraudada aquela cota com as muitas arrobas de ouro falso, que na multiplicidade de parcelas se pode introduzir nas ditas casas, visto que hoje se cobra o 5º em ouro em pó antes de fundir-se, e se ficará completando o número das cem arrobas com muitas falsas sem regrosso a derrama por senão poder concluir a falsidade, senão quando se funde o ouro de Vossa Majestade na cada da moeda desta Corte.O Segundo prejuízo consiste em que como hoje correm os gastos das fundições das partes por conta da fazenda real fica esta prejudicada na maior parte do Solimão, água forte e ainda Cadilhos, que mais consome ou gasta o ouro falso e sujo de que o Limpo e que o referido senão verifica na moeda falsa que alguém leva a Casa da Moeda para se desenganar, porque nisto não tem a fazenda real prejuízo algum, como tem no ouro falso dando-se ele em pagamento. Pelo que parece a eles conselheiros sem embargo da representação da câmara deve ficar a dita lei em seu vigor, tanto a respeito dos que levam ouro a Casa da Fundição em pagamento do quinto como a respeito dos particulares que negociam nas Minas com o mesmo ouro sem que se faça restrição ou declaração da referida lei. E pelo que toca a moeda que deve correr nas ditas Minas lhe parece o mesmo que ao Conselho. Lisboa, 1º de julho de 1760. Metelo, Andrade, Bacalhau, Rangel, Costa, Tavares, Sotomaior.","89","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 163","01/07/1760","1760","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaJoão Soares TavaresManoel António da Cunha de Sottomayor","FazendaCoroa","25/08/1760","[Como parece ao Conselho quanto a forma da observância da lei de 17 de janeiro de 1735 com a declaração, de que as quatro quintas partes do valor do ouro, que se levar as Casas de Fundição, não serão entregues aos interessados nelas, sem primeiro ser examinado e ensaiado o ouro que houverem metido, não só para se descontarem, mas também para se poder por elas proceder na devassa contra os falsificadores e se lhes imporem as penas da referida lei. Quanto a extração da moeda de prata mande o Conselho examinar a quantidade dela que costuma sair dos registros em cada um ano, e a faça a mesma proporção introduzir também anualmente por conta da minha real fazenda, para assim cessar a falta dela sem a dependência de mais cominações penais do que aquelas que já se acham estabelecidas sobre esta matéria. Nossa Senhora da Ajuda, 25 de agosto de 1760. Com rubrica de S. M.]** ordens a diferentes autoridades","Circulação de Moedas e Casas de Fundição (queixas e arbítrios)","1","05/05/1755","","","Sobe","Sobre o que informa o Governador interino da capitania das Minas Gerais a respeito da representação que pelo mesmo Conselho fizeram os oficiais da Câmara da cidade de Mariana sobre o prejuízo que recebe aquele Povo em observar o bando que naquela capitania se publicou a respeito da falsidade do ouro, que nas casas da Fundição se mete misturado com outro metal, e vai a copia que se acusa."
"GovernadorCarta do provedor de 26 de abril de 1758 sobre requerimentos do Comandante do Continente das Minas Novas pedro Leolino de Morais e Ignácio da Luz, capitão da Companhia de dragões.Vista ao Procurador da Fazenda.Ao Conselho parece que não pode responder sem que S. M. determine o que sobre esta matéria se consultou em 6 de julho do presente ano.Lisboa, 23 de setembro de 1758. Metello, Pardinho, Carvalho, Rangel, Costa.Sobre moeda de prata que corre nas Minas.Consulta de 25/08/176028/08/1760","90","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 158**","23/09/1758","1758","Alexandre Metelo de Sousa MenesesRafael Pires PardinhoFrancisco Lopes de CarvalhoDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da Costa","","25/08/1760","[Como parece ao Conselho quanto a forma da observância da lei de 17 de janeiro de 1735 com a declaração, de que as quatro quintas partes do valor do ouro, que se levar as Casas de Fundição, não serão entregues aos interessados nelas, sem primeiro ser examinado e ensaiado o ouro que houverem metido, não só para se descontarem, mas também para se poder por elas proceder na devassa contra os falsificadores e se lhes imporem as penas da referida lei. Quanto a extração da moeda de prata mande o Conselho examinar a quantidade dela que costuma sair dos registros em cada um ano, e a faça a mesma proporção introduzir também anualmente por conta da minha real fazenda, para assim cessar a falta dela sem a dependência de mais cominações penais do que aquelas que já se acham estabelecidas sobre esta matéria. Nossa Senhora da Ajuda, 25 de agosto de 1760. Com rubrica de S. M.]** ordens a diferentes autoridades","Contos e moedas (administração, remessas, circulação e arbítrios)","","","","","SISobe","O provedor da Fazenda das Minas Gerais e o Governador interino José Antônio Freire de Andrade pedem a Sua majestade lhes determine se os soldos vencidos e o que se forem vencendo dos ofícios de soldados da Companhia dos Dragões das Minas Novas do Fanado [unidas] ao Governo das Minas Gerais, devem ser pagos por aquela Provedoria, e vai a copia da Consulta que se acusa. "
"O Corretor da Fazenda apresentou no Conselho a relação sobre os preços dos últimos contratos.Ao Conselho parece o mesmo que ao Procurador da Fazenda","91","Serviço Real","LIVRO DE REGISTO de consultas Mistas do Conselho Ultramarino. Códice 27 (1760-1799), p. 10","20/03/1760","1760","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaJoão Soares TavaresFrancisco Xavier de Assis Pacheco e SampaioManoel António da Cunha de Sottomayor","Fazenda","25/08/1760","","Contratos e condições","1","","","","Sobe","Sobre os preços que se oferecem pelos contratos que andam em lanços que não chegam aos da última arrematação e não haver quem lance em alguns dos ditos contratos e vai a cópia da relação que se acusa"
"GovernadorServido por resolução de 23/08/1760 sobre o vencimento dos ajudantes dos números dos terços dos auxiliares.09/10/1760[Tenho dado providência. Nossa Senhora da Ajuda, 23 de agosto de 1760. Com rubrica de S. M.]Carta de 28 de novembro de 1759.Parece ao Conselho o mesmo que ao governador.Lisboa, 15 de março de 1760. Metello, Costa, Tavares.","92","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 160**","15/03/1760","1760","Alexandre Metelo de Sousa MenesesAntónio Lopes da CostaJoão Soares Tavares","","23/08/1760","[Tenho dado providência. Nossa Senhora da Ajuda, 23 de agosto de 1760. Com rubrica de S. M.]","Administração do oficialato (satisfação de ordenados, soldos, etc.)","","","","","SI","O Governador interino das Minas gerais pede a Sua Majestade seja servido ordenar que na primeira ocasião se remetam fardamento para a Companhia de Dragões das Minas Novas do Arasuahy de que tem grande necessidade; e vai a cópia que se acusa."
"O Desembargador Manuel da Fonseca Brandão representa a Vossa Majestade, por este Conselho, em carta de 11 de dezembro do ano próximo passado, da qual sobe cópia com esta à real presença de Vossa Majestade, com os documentos de que faz menção, que vendo na residência que tirou ao Bacharel Francisco Ângelo Leitão do tempo que fora ouvidor da Câmara da Vila Rica, ter despendido a Câmara da cidade Mariana desde o ano de 1752 até o de 1757, nas festividades a que era obrigada a assistir a quantia de 4:127$912 réis e no mesmo tempo e com as mesmas festividades a quantia de 16:629|778 réis, digo festividades a Câmara de Vila Rica a quantia de 16:629$778 réis, e parecendo-lhe estas e outras despesas além de excessivas desordens por serem feitas contra as ordens expressas de Vossa Majestade, deixara os provimentos que pareceram justos, glosando em Vila Rica na conta que tomou com o ouvidor da despesa do ano de 1758, parcelas que importam um conto duzentos e tantos mil réis. Junta a sobredita representação a outra que por este Tribunal fizeram os vereadores e escrivão da Câmara de Vila Rica de que também sobe a cópia inclusa, pedindo nela a absolvição das referidas glosas, que o dito desembargador sindicante lhe fizera nos livros das despesas se deu vista ao procurador da Fazenda, o qual disse que a despesa e propina da festa ou do canlicu-te-deum estava bem glosada porque não era do regimento, nem havia ordem para isso, que o mesmo dizia da despesa e propina da festividade de São Francisco de Borja que enquanto à despesa da festa do Orago e São Sebastião se fizesse justiça. Que pelo que respeitava à procissão do Corpo de Deus, sabia que havia duas ordens uma de 26 de dezembro de 1695, e outra de 10 de janeiro de 1697, cujas cópias não tinha se deviam juntar para a Câmara da Bahia dar cera em algumas procissões e havia outra ordem de 13 de março de 1743, dirigida à Câmara de Vila Boa de Goiás, em que se declarava que as irmandades deviam acompanhar esta procissão ou com cera ou sem ela não a tendo. Que enquanto à despesa da esmola das missas do Corpo de Deus, Santa Isabel e capela dos presos se fizesse justiça, que a despesa feita com as varas dos juízes, vereadores, etc, e a da porção de 60$000 réis pagos ao síndico estava bem reprovada, como também a dos salários do contador e alcaide. Que a do custo dos livros e rubricas, também estava bem feita, porque o fazer o registro das ordens, etc, era o encargo do ofício de escrivão da Câmara e que toda a despesa ilegitimamente feita e glosada se devia restituir e repor, e para esse efeito e de se execularem os devedores se deviam passar as ordens necessárias. Que sobre a necessidade de se acudir ao reparo da descida do morro ele Vila Rica e a passagem e caminho que ia da dita vila para a cidade, devia informar com o seu parecer o Governador e Capitão General do Rio de Janeiro e Minas Gerais. O procurador da Coroa que também foi ouvido, respondeu que as desordens com que mal se administraram e despendiam os bens dos Conselhos eram a causa de se faltar at) preciso elas obras e necessidades públicas que em primeiro lugar deviam atender e não à própria conveniência os oficiais da Câmara. Que o excesso que os de Vila Rica tinham praticado era bem patente da segunda certidão cotejada com a primeira, e se lhes devia estranhar e advertir que daqui em diante cuidasse, na sua obrigação e evitassem superfluidades nas festas ou funções da obrigação da Câmara e que parecia conveniente que para as em que se deviam fazer despesas pelos rendimentos do Conselho, houvesse para cada uma taxa de quantia certa que eles não pudessem exceder, sobre o que podia informar o ouvidor fazendo uma regulação prudente liara Vossa Majestade a aprovar parecendo-lhe. Que enquanto ao mais que se expendia nesta conta e na da Câmara que ia junta, se conformava com o procurador da Fazenda. O que sendo visto ao Conselho parece que tem diferido pelo seu expediente nas matérias, em que não necessitava inovar-se coisa alguma nas ordens que Vossa Majestade tem dado, segundo as quais manda o Conselho responder a esta Câmara e que o ministro sindicante procedeu com acerto nas glosas que deixou e de que estes oficiais da Câmara se queixam onde somente no que toca à despesa da cera da procissão do Corpo de Deus reprovou o excesso que neste particular praticavam aqueles vereadores, permitindo o que considerou não ser excesso por tempo de duas frotas para recorrerem a Vossa Majestade lhes conceda poderem fazer esta despesa na forma que ele lhe permite no seu provimento, pelo que entende o Conselho que visto o rendimento desta Câmara ser tão copioso que pode fazer a despesa permitida pelo dito sindicante, seja Vossa Majestade servido conceder-lhe provisão para que nas procissões do Corpo de Deus, Santa Isabel e Anjo Custódio possam dar à custa da renda da Câmara cera às pessoas do corpo da Sé c da mesma Câmara e aos cavaleiros das três ordens militares, como também pagar a esmola das missas que se celebram nas referidas festividades e as que se dizem todos os domingos e dias santos aos presos, sem que faça exemplo esta permissão a outras Câmaras em e que não haja a mesma razão de abundância de rendimento e estilo. Lisboa, 8 de maio de 1760. Metelo. Andrade. Bacalhau. Costa. Tavares. Souto Maior. ","93","Outras capitanias","Documentos históricos (Biblioteca Nacional), 92, p. 60-63","08/05/1760","1760","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouAntónio Lopes da CostaJoão Soares TavaresManoel António da Cunha de Sottomayor","FazendaCoroa","26/08/1760","Como parece com as declarações que aponta o Procurador da Coroa na sua resposta, enquanto nela diz que as outras que ele justiça se devem fazer em benefício público dos bens do Conselho, tenham sempre preferência e quantias determinadas nas rendas desta Câmara. Nossa Senhora da Ajuda, 26 de agosto de 1760. Com rubrica de Sua Majestade.","","1","","","","Sobe","Sobre a informação do desembargador Manuel da Fonseca Brandão e representação dos vereadores e escrivão da câmara de Vila Rica acerca das glozas e absolvição de glozas com gastos relativos à festividades;"
